# x_m,y_m,w_tr_right_m,w_tr_left_m
1740.101,-1384.544,6.000,6.000
1736.286,-1382.691,6.000,6.000
1732.508,-1380.768,6.000,6.000
1728.820,-1378.671,6.000,6.000
1725.133,-1376.575,6.000,6.000
1721.443,-1374.484,6.000,6.000
1717.742,-1372.412,6.000,6.000
1714.041,-1370.340,6.000,6.000
1710.340,-1368.267,6.000,6.000
1706.644,-1366.186,6.000,6.000
1702.948,-1364.105,6.000,6.000
1699.253,-1362.024,6.000,6.000
1695.545,-1359.963,6.000,6.000
1691.837,-1357.904,6.000,6.000
1688.129,-1355.844,6.000,6.000
1684.421,-1353.785,6.000,6.000
1680.712,-1351.727,6.000,6.000
1677.004,-1349.668,6.000,6.000
1673.272,-1347.651,6.000,6.000
1669.534,-1345.648,6.000,6.000
1665.796,-1343.644,6.000,6.000
1662.045,-1341.663,6.000,6.000
1658.290,-1339.691,6.000,6.000
1654.534,-1337.719,6.000,6.000
1650.767,-1335.770,6.000,6.000
1646.996,-1333.830,6.000,6.000
1643.224,-1331.889,6.000,6.000
1639.427,-1329.999,6.000,6.000
1635.627,-1328.115,6.000,6.000
1631.821,-1326.243,6.000,6.000
1627.982,-1324.439,6.000,6.000
1624.143,-1322.635,6.000,6.000
1620.297,-1320.846,6.000,6.000
1616.443,-1319.077,6.000,6.000
1612.588,-1317.307,6.000,6.000
1608.710,-1315.589,6.000,6.000
1604.830,-1313.876,6.000,6.000
1600.937,-1312.193,6.000,6.000
1597.031,-1310.538,6.000,6.000
1593.160,-1308.811,6.000,6.000
1589.415,-1306.819,6.000,6.000
1585.674,-1304.820,6.000,6.000
1581.962,-1302.768,6.000,6.000
1578.260,-1300.699,6.000,6.000
1574.604,-1298.549,6.000,6.000
1570.967,-1296.367,6.000,6.000
1567.371,-1294.117,6.000,6.000
1563.840,-1291.769,6.000,6.000
1560.368,-1289.334,6.000,6.000
1557.062,-1286.679,6.000,6.000
1553.858,-1283.904,6.000,6.000
1550.835,-1280.929,6.000,6.000
1548.007,-1277.771,6.000,6.000
1545.436,-1274.418,6.000,6.000
1543.309,-1270.749,6.000,6.000
1540.760,-1267.367,6.000,6.000
1538.155,-1264.020,6.000,6.000
1535.638,-1260.606,6.000,6.000
