# x_m,y_m,w_tr_right_m,w_tr_left_m
112.340,-474.082,5.864,5.705
113.554,-469.255,5.954,5.655
114.518,-464.326,6.029,5.685
115.290,-459.329,5.969,5.861
115.926,-454.299,5.943,6.015
116.479,-449.266,6.026,6.098
116.997,-444.241,6.109,6.181
117.521,-439.233,6.157,6.260
118.096,-434.251,6.142,6.333
118.765,-429.302,6.128,6.406
119.571,-424.396,6.114,6.359
120.558,-419.541,6.100,6.151
121.770,-414.745,6.074,5.968
123.250,-410.017,5.884,6.113
125.021,-405.366,5.749,6.232
127.071,-400.805,5.844,6.245
129.380,-396.347,5.940,6.203
131.931,-392.003,6.038,6.060
134.705,-387.787,6.098,6.017
137.685,-383.710,6.103,6.110
140.852,-379.787,6.109,6.195
144.188,-376.028,6.121,6.237
147.677,-372.445,6.133,6.279
151.307,-369.036,6.027,6.422
155.072,-365.792,5.939,6.525
158.963,-362.707,6.071,6.232
162.972,-359.774,6.202,5.940
167.093,-356.984,6.164,6.019
171.316,-354.331,6.109,6.120
175.635,-351.807,5.948,6.363
180.042,-349.406,5.975,6.388
184.529,-347.124,6.221,6.160
189.090,-344.981,6.243,6.106
193.722,-342.997,6.038,6.226
198.418,-341.194,5.885,6.280
203.174,-339.594,5.911,6.103
207.985,-338.218,5.909,5.892
212.845,-337.088,5.838,5.596
217.750,-336.224,5.753,5.456
222.694,-335.648,5.652,5.475
227.665,-335.364,5.444,5.795
232.649,-335.365,5.531,5.946
237.631,-335.647,5.760,6.022
242.596,-336.204,5.899,6.219
247.529,-337.029,5.854,6.551
252.415,-338.116,5.781,6.377
257.239,-339.461,6.045,6.126
261.986,-341.056,6.092,6.067
266.645,-342.890,6.025,6.107
271.232,-344.911,5.959,6.147
275.770,-347.051,5.893,6.187
280.284,-349.245,5.827,6.227
284.796,-351.427,5.835,6.219
289.319,-353.568,5.916,6.162
293.854,-355.674,5.998,6.105
298.398,-357.756,6.079,6.047
302.952,-359.823,6.161,5.990
307.515,-361.878,6.242,5.933
312.086,-363.922,6.324,5.876
316.665,-365.953,6.295,5.889
321.249,-367.971,6.221,5.929
325.839,-369.974,6.147,5.970
330.434,-371.961,6.073,6.011
335.032,-373.932,5.999,6.052
339.634,-375.886,5.926,6.092
344.241,-377.817,5.868,6.096
348.889,-379.670,5.967,5.752
353.633,-381.356,6.025,5.565
358.487,-382.616,5.592,6.049
363.388,-382.897,5.903,5.675
368.261,-381.990,5.771,5.596
373.030,-380.347,5.984,5.844
377.642,-378.324,6.048,6.039
382.087,-376.006,6.136,6.052
386.372,-373.441,6.303,5.902
390.518,-370.669,6.470,5.753
394.548,-367.730,6.638,5.603
398.486,-364.661,6.347,5.879
402.352,-361.498,6.056,6.156
406.158,-358.256,5.785,6.414
409.908,-354.945,5.967,6.250
413.610,-351.575,6.148,6.085
417.270,-348.155,6.278,5.965
420.883,-344.684,6.349,5.895
424.435,-341.153,6.387,5.847
427.910,-337.551,6.255,5.922
431.293,-333.868,6.123,5.996
434.570,-330.094,5.991,6.071
437.725,-326.217,5.853,6.076
440.743,-322.229,5.727,6.049
443.608,-318.117,5.913,5.738
446.338,-313.899,5.995,5.579
449.042,-309.664,5.888,5.701
451.848,-305.516,5.953,5.788
454.882,-301.561,5.965,5.945
458.262,-297.897,5.667,6.378
462.001,-294.589,5.776,6.250
466.057,-291.677,5.809,6.073
470.384,-289.201,5.709,5.928
474.936,-287.201,6.001,5.908
479.671,-285.685,6.004,5.947
484.546,-284.606,5.918,5.990
489.520,-283.913,5.785,6.016
