# x_m,y_m,w_tr_right_m,w_tr_left_m
1572.075,-1123.059,5.807,5.807
1572.075,-1127.206,5.807,5.807
1572.075,-1131.354,5.807,5.807
1572.075,-1135.502,5.807,5.807
1572.075,-1139.650,5.807,5.807
1572.075,-1143.798,5.807,5.807
1572.075,-1147.946,5.807,5.807
1572.075,-1152.094,5.807,5.807
1572.036,-1156.242,5.776,5.776
1571.946,-1160.390,5.705,5.705
1571.806,-1164.538,5.592,5.592
1571.614,-1168.686,5.438,5.438
1571.396,-1172.834,5.264,5.264
1571.230,-1176.982,5.158,5.158
1571.114,-1181.130,5.134,5.134
1571.050,-1185.278,5.192,5.192
1571.038,-1189.426,5.332,5.332
1571.038,-1193.574,5.506,5.506
1571.038,-1197.722,5.643,5.643
1571.038,-1201.870,5.739,5.739
1571.038,-1206.018,5.793,5.793
1570.999,-1210.166,5.776,5.776
1570.909,-1214.313,5.705,5.705
1570.769,-1218.461,5.592,5.592
1570.577,-1222.609,5.438,5.438
1570.359,-1226.757,5.292,5.292
1570.193,-1230.905,5.227,5.227
1570.077,-1235.053,5.244,5.244
1570.013,-1239.201,5.342,5.342
1570.001,-1243.349,5.506,5.506
1569.988,-1247.497,5.633,5.633
1569.924,-1251.645,5.677,5.677
1569.808,-1255.793,5.640,5.640
1569.642,-1259.941,5.520,5.520
1569.424,-1264.089,5.346,5.346
1569.232,-1268.237,5.193,5.193
1569.092,-1272.385,5.088,5.088
1569.002,-1276.533,5.064,5.064
1568.951,-1280.681,5.112,5.112
1568.887,-1284.829,5.191,5.191
1568.772,-1288.977,5.269,5.269
1568.605,-1293.125,5.312,5.312
1568.375,-1297.273,5.300,5.300
1568.119,-1301.421,5.271,5.271
1567.863,-1305.568,5.276,5.276
1567.568,-1309.716,5.319,5.319
1567.184,-1313.903,5.342,5.342
1566.762,-1318.140,5.380,5.380
1566.249,-1322.468,5.407,5.407
1565.622,-1326.936,5.400,5.400
1564.918,-1331.570,5.393,5.393
1564.111,-1336.307,5.417,5.417
1563.164,-1341.121,5.437,5.437
1562.127,-1345.909,5.420,5.420
1561.013,-1350.569,5.382,5.382
1559.861,-1355.101,5.330,5.330
1558.696,-1359.530,5.269,5.269
1557.505,-1363.896,5.226,5.226
1556.289,-1368.249,5.219,5.219
1555.022,-1372.614,5.211,5.211
1553.729,-1376.929,5.220,5.220
1552.410,-1381.192,5.249,5.249
1551.053,-1385.404,5.277,5.277
1549.670,-1389.565,5.294,5.294
1548.275,-1393.712,5.302,5.302
1546.880,-1397.860,5.283,5.283
1545.497,-1402.008,5.243,5.243
1544.165,-1406.156,5.218,5.218
1542.847,-1410.304,5.209,5.209
1541.541,-1414.452,5.226,5.226
1540.210,-1418.600,5.250,5.250
1538.865,-1422.748,5.279,5.279
1537.508,-1426.896,5.308,5.308
1536.126,-1431.044,5.317,5.317
1534.743,-1435.192,5.321,5.321
1533.360,-1439.353,5.313,5.313
1531.978,-1443.565,5.304,5.304
1530.595,-1447.828,5.296,5.296
1529.212,-1452.142,5.287,5.287
1527.830,-1456.508,5.287,5.287
1526.447,-1460.848,5.296,5.296
1525.064,-1465.175,5.317,5.317
1523.682,-1469.502,5.350,5.350
1522.325,-1473.829,5.410,5.410
1521.006,-1478.169,5.485,5.485
1519.713,-1482.535,5.568,5.568
1518.458,-1486.849,5.648,5.648
1517.217,-1491.113,5.710,5.710
1515.949,-1495.325,5.749,5.749
1514.643,-1499.485,5.761,5.761
1513.299,-1503.633,5.766,5.766
1511.929,-1507.781,5.774,5.774
1510.444,-1512.006,5.839,5.839
1508.857,-1516.333,5.918,5.918
1507.205,-1520.763,5.969,5.969
1505.541,-1525.295,5.995,5.995
1503.928,-1529.878,5.943,5.943
1502.532,-1534.397,5.758,5.758
1501.303,-1538.865,5.604,5.604
1500.125,-1543.282,5.453,5.453
1498.960,-1547.648,5.331,5.331
1497.706,-1552.013,5.300,5.300
1496.374,-1556.328,5.308,5.308
1494.992,-1560.591,5.308,5.308
1493.609,-1564.816,5.308,5.308
1492.226,-1569.040,5.304,5.304
1490.844,-1573.304,5.296,5.296
1489.461,-1577.618,5.287,5.287
1488.078,-1581.984,5.287,5.287
1486.696,-1586.323,5.296,5.296
1485.313,-1590.612,5.304,5.304
1483.930,-1594.850,5.313,5.313
1482.548,-1599.036,5.321,5.321
1481.165,-1603.184,5.308,5.308
1479.808,-1607.332,5.296,5.296
1478.464,-1611.480,5.274,5.274
1477.132,-1615.628,5.245,5.245
1475.827,-1619.776,5.232,5.232
1474.508,-1623.924,5.232,5.232
1473.177,-1628.072,5.245,5.245
1471.819,-1632.220,5.266,5.266
1470.450,-1636.368,5.291,5.291
1469.067,-1640.516,5.308,5.308
1467.684,-1644.664,5.317,5.317
1466.302,-1648.812,5.317,5.317
1464.919,-1652.998,5.308,5.308
1463.536,-1657.236,5.300,5.300
1462.154,-1661.524,5.291,5.291
1460.771,-1665.864,5.283,5.283
1459.388,-1670.230,5.291,5.291
1458.006,-1674.544,5.300,5.300
1456.623,-1678.808,5.308,5.308
1455.240,-1683.019,5.317,5.317
1453.858,-1687.180,5.317,5.317
1452.475,-1691.367,5.308,5.308
1451.093,-1695.604,5.300,5.300
1449.710,-1699.893,5.291,5.291
1448.327,-1704.233,5.283,5.283
1446.945,-1708.599,5.291,5.291
1445.562,-1712.913,5.300,5.300
1444.179,-1717.176,5.308,5.308
1442.797,-1721.388,5.317,5.317
1441.414,-1725.549,5.321,5.321
1440.031,-1729.697,5.321,5.321
1438.649,-1733.845,5.317,5.317
1437.266,-1738.031,5.308,5.308
1435.883,-1742.269,5.300,5.300
1434.501,-1746.557,5.291,5.291
1433.118,-1750.897,5.283,5.283
1431.735,-1755.263,5.291,5.291
1430.353,-1759.577,5.300,5.300
1428.970,-1763.841,5.308,5.308
1427.587,-1768.053,5.317,5.317
1426.205,-1772.213,5.317,5.317
1424.822,-1776.400,5.308,5.308
1423.439,-1780.637,5.300,5.300
1422.057,-1784.926,5.291,5.291
1420.674,-1789.266,5.283,5.283
1419.292,-1793.632,5.291,5.291
1417.909,-1797.959,5.304,5.304
1416.526,-1802.286,5.331,5.331
1415.156,-1806.613,5.379,5.379
1413.799,-1810.940,5.440,5.440
1412.468,-1815.306,5.524,5.524
1411.175,-1819.646,5.603,5.603
1409.907,-1823.935,5.677,5.677
1408.627,-1828.172,5.725,5.725
1407.360,-1832.359,5.755,5.755
1406.067,-1836.507,5.768,5.768
1404.735,-1840.655,5.770,5.770
1403.378,-1844.802,5.767,5.767
1402.008,-1848.950,5.765,5.765
1400.626,-1853.098,5.763,5.763
1399.243,-1857.246,5.758,5.758
1397.886,-1861.394,5.748,5.748
1396.542,-1865.542,5.708,5.708
1395.210,-1869.729,5.641,5.641
1393.905,-1873.966,5.558,5.558
1392.586,-1878.255,5.456,5.456
1391.254,-1882.595,5.376,5.376
1389.897,-1886.961,5.329,5.329
1388.528,-1891.275,5.308,5.308
1387.145,-1895.538,5.308,5.308
1385.762,-1899.750,5.304,5.304
1384.405,-1903.911,5.296,5.296
1383.061,-1908.059,5.274,5.274
1381.730,-1912.207,5.245,5.245
1380.424,-1916.355,5.234,5.234
1379.079,-1920.554,5.239,5.239
1377.658,-1924.958,5.261,5.261
1376.135,-1929.567,5.283,5.283
1374.535,-1934.380,5.314,5.314
1372.857,-1939.399,5.321,5.321
1371.232,-1944.315,5.325,5.325
1369.670,-1949.065,5.316,5.316
1368.172,-1953.661,5.298,5.298
1366.751,-1958.103,5.291,5.291
1365.368,-1962.443,5.283,5.283
1363.985,-1966.809,5.291,5.291
1362.603,-1971.123,5.300,5.300
1361.220,-1975.386,5.308,5.308
1359.838,-1979.598,5.317,5.317
1358.455,-1983.759,5.317,5.317
1357.072,-1987.945,5.308,5.308
1355.690,-1992.183,5.300,5.300
1354.307,-1996.472,5.291,5.291
1352.924,-2000.812,5.283,5.283
1351.542,-2005.177,5.291,5.291
1350.185,-2009.492,5.308,5.308
1348.840,-2013.755,5.335,5.335
1347.509,-2017.967,5.373,5.373
1346.203,-2022.127,5.427,5.427
1344.910,-2026.275,5.486,5.486
1343.617,-2030.423,5.554,5.554
1342.311,-2034.571,5.599,5.599
1341.018,-2038.719,5.640,5.640
1339.699,-2042.867,5.658,5.658
1338.368,-2047.015,5.654,5.654
1337.011,-2051.163,5.635,5.635
1335.641,-2055.311,5.620,5.620
1334.258,-2059.459,5.608,5.608
1332.876,-2063.607,5.598,5.598
1331.480,-2067.793,5.604,5.604
1330.072,-2072.031,5.614,5.614
1328.587,-2076.358,5.622,5.622
1326.846,-2080.980,5.663,5.663
1324.337,-2086.434,5.840,5.840
1320.970,-2092.604,6.231,6.231
1316.578,-2099.454,6.893,6.893
1311.201,-2106.712,7.000,7.000
1305.658,-2112.960,7.000,7.000
1300.320,-2117.646,7.000,7.000
1295.352,-2120.590,7.000,7.000
